              id              |                  name                   | activePackageType |    agencyId     |                     website                      |        clientId        
------------------------------+-----------------------------------------+-------------------+-----------------+--------------------------------------------------+------------------------
 dealer-acura-columbus        | Acura of Columbus                       | SILVER            | agency-seoworks | https://www.acuracolumbus.com/                   | 
 dealer-aeo-powersports       | AEO Powersports                         | PLATINUM          | agency-seoworks | https://aeopowersports.com/                      | 
 dealer-columbus-auto-group   | Columbus Auto Group                     | SILVER            | agency-seoworks | https://columbusautogroup.com/                   | 
 dealer-genesis-wichita       | Genesis of Wichita                      | PLATINUM          | agency-seoworks | https://www.genesisofwichita.com/                | dealer-genesis-wichita
 dealer-hatchett-hyundai-east | Hatchett Hyundai East                   | SILVER            | agency-seoworks | https://www.hatchetthyundaieast.com/             | 
 dealer-hatchett-hyundai-west | Hatchett Hyundai West                   | SILVER            | agency-seoworks | https://www.hatchetthyundaiwest.com/             | 
 dealer-jhdjr-frontenac       | Jay Hatfield CDJR of Frontenac          | SILVER            | agency-seoworks | https://www.jayhatfieldchryslerdodgejeepram.com/ | 
 dealer-jhc-chanute           | Jay Hatfield Chevrolet GMC of Chanute   | SILVER            | agency-seoworks | https://www.jayhatfieldchanute.com/              | 
 dealer-jhc-pittsburg         | Jay Hatfield Chevrolet GMC of Pittsburg | SILVER            | agency-seoworks | https://www.jayhatfieldchevroletgmc.com/         | 
 dealer-jhc-columbus          | Jay Hatfield Chevrolet of Columbus      | SILVER            | agency-seoworks | https://www.jayhatfieldchevy.net/                | 
 dealer-jhc-vinita            | Jay Hatfield Chevrolet of Vinita        | SILVER            | agency-seoworks | https://www.jayhatfieldchevroletvinita.com/      | 
 dealer-jhhp-wichita          | Jay Hatfield Honda Powerhouse           | SILVER            | agency-seoworks | https://www.jayhatfieldhondawichita.com/         | 
 dealer-jhm-frontenac         | Jay Hatfield Motorsports of Frontenac   | SILVER            | agency-seoworks | https://www.jayhatfieldkawasaki.com/             | 
 dealer-jhm-joplin            | Jay Hatfield Motorsports of Joplin      | SILVER            | agency-seoworks | https://www.jhmofjoplin.com/                     | 
 dealer-jhm-wichita           | Jay Hatfield Motorsports of Wichita     | SILVER            | agency-seoworks | https://www.kansasmotorsports.com/               | 
 dealer-jhm-ottawa            | Jay Hatfield Motorsports Ottawa         | SILVER            | agency-seoworks | https://www.jayhatfieldottawa.com/               | 
 dealer-jhm-portal            | Jay Hatfield Motorsports Portal         | PLATINUM          | agency-seoworks | http://jayhatfieldmotorsports.com/               | 
 dealer-premier-auto-tucson   | Premier Auto Center - Tucson            | SILVER            | agency-seoworks | https://scottsaysyes.com/                        | 
 dealer-premier-mitsubishi    | Premier Mitsubishi                      | SILVER            | agency-seoworks | https://premiermitsubishi.com/                   | 
 dealer-sarcoxie-ford         | Sarcoxie Ford                           | SILVER            | agency-seoworks | https://www.sarcoxieford.com                     | 
 dealer-winnebago-rockford    | Winnebago of Rockford                   |                   | agency-seoworks | https://www.winnebagomotorhomes.com/             | 
 dealer-world-kia             | World Kia                               | PLATINUM          | agency-seoworks | https://www.worldkiajoliet.com/                  | 
(22 rows)

